,street,city,state,zip,livingArea,latitude,longitude,status,detailUrl,county,buildingStyle,description,yearBuilt,lotSizeSquareFeet,rental,totalBuildingAreaSquareFeet
10,12029 Conrad Cir,Hampton,GA,30228,2361,33.43082,-84.31939,FOR_SALE,https://www.zillow.com/homedetails/12029-Conrad-Cir-Hampton-GA-30228/444064177_zpid/,Clayton County,SINGLE_FAMILY,"Gated Community, easy access to Interstate 75, luxury living at an affordable price. The Robie floor plan*  Welcome home to Shoal Creek!  Luxury living at its finest. Close to tons of shopping and dining.  This floor plan opens to a expansive foyer that leads to an open concept family room with hardwood on the main floor.  Kitchen features an oversized island that overlooks the family room, white cabinets and granite countertops, walk-in pantry and stainless steel appliances.  Oversized primary bedroom features a ceiling fan, a large walk-in closet and bathroom with double vanity, separate soaking tub and shower, and a loft right outside the door for relaxing!  Smart home technology included, along with garage door openers, and whole house blinds!  Don't miss out on our below market interest rate fixed for 30 years available for a limited time at no cost to you with the use of preferred lender! ALL CLOSING COSTS COVERED with the use of our preferred lender for a limited time!  Additional Hometown hero incentive available for teachers, nurses, firefighters, law enforcement, EMT! Stock photos of similar home.  Use Showingtime for appointments.",2024,,False,"2,361"
11,2200 Croghan Dr,Hampton,GA,30228,1440,33.439648,-84.32026,FOR_SALE,https://www.zillow.com/homedetails/2200-Croghan-Dr-Hampton-GA-30228/339033048_zpid/,Clayton County,SINGLE_FAMILY,"Welcome to the EMMA at Towne Center, located on Lot 176 in the highly sought-after Hampton community by DRB Homes. This beautifully crafted single-family home boasts an exquisite craftsman exterior and no detail is overlooked.    The EMMA plan, situated on a slab, offers a spacious 3-bedroom, 2.5-bathroom layout with an open concept on the main level. The stunning kitchen features an expansive island with quartz countertops, elegant cabinetry, and a generous walk-in pantry.    The Owner’s Suite is conveniently located on the main level, providing a private retreat. Upstairs, you will find a large loft area and two additional spacious bedrooms, each with walk-in closets.    *Please note: The photos provided may not represent the actual home. Experience the charm and functionality of the EMMA for yourself!*",2024,,False,"1,440"
12,12020 Conrad Cir,Hampton,GA,30228,2361,33.43082,-84.31939,FOR_SALE,https://www.zillow.com/homedetails/12020-Conrad-Cir-Hampton-GA-30228/439160520_zpid/,Clayton County,SINGLE_FAMILY,"Welcome home to Shoal Creek! Gated Community, easy access to Interstate 75, luxury living at an affordable price. Close to tons of shopping and dining including Starbucks, Publix, Aldi, Walmart, Kroger and so much more! The Robie floor plan*. This floor plan features 5 bedrooms with 3 full baths with a bedroom and full bath on the main floor, opens to a expansive foyer that leads to an open concept family room with hardwood on the main floor.  Kitchen features an oversized island that overlooks the family room, white cabinets and granite countertops, walk-in pantry and stainless steel appliances.  Oversized primary bedroom features a ceiling fan, a large walk-in closet and bathroom with double vanity, separate soaking tub and shower, and a loft right outside the door for relaxing!  Smart home technology package included, along with garage door openers, and whole house blinds!  Don't miss out on our below market interest rate available with ALL CLOSING COSTS PAID with the use of preferred lender for a limited time!  Additional Hometown hero incentive available for teachers, nurses, firefighters, law enforcement, EMT!  Selling fast!!  STOCK PHOTOS of similar home. Home is under construction and is scheduled to be completed in November.",2024,,False,"2,361"
13,494 Ridgecrest Dr,Riverdale,GA,30274,1320,33.575523,-84.40651,FOR_SALE,https://www.zillow.com/homedetails/494-Ridgecrest-Dr-Riverdale-GA-30274/250293455_zpid/,Clayton County,SINGLE_FAMILY,"Beautiful New Construction Home – Corner Lot, Centrally Located!    Welcome to this stunning 3-bedroom, 2-bathroom new construction home, perfectly nestled on a spacious corner lot. With its prime location just 15 minutes from the airport and only 18 minutes from downtown Atlanta, this home offers unparalleled convenience and modern living in a peaceful setting.    Property Highlights:  Bright, Open Floor Plan: A spacious layout with abundant natural light, perfect for both relaxing and entertaining.  Gourmet Kitchen: Features modern finishes, premium appliances, and ample counter and cabinet space for your culinary adventures.  Primary Suite Oasis: Enjoy a tranquil retreat with an en-suite bathroom and walk-in closet.  Two Additional Bedrooms: Ideal for family, guests, or a home office.  Expansive Corner Lot: A lush, well-manicured yard with plenty of space for outdoor activities, gardening, or future landscaping projects.  Charming Front Porch: Perfect for enjoying your morning coffee or relaxing in the evening.  Prime Location:  Convenience meets tranquility in this centrally located property. Whether you’re commuting to Hartsfield-Jackson Atlanta International Airport or exploring the vibrant attractions of downtown Atlanta, you’re just minutes away from it all.    This home offers the best of modern living with the perfect balance of location, style, and comfort.    Don’t Miss Out!",2022,0.27 Acres,False,"1,320"
14,2409 Aukerman Trce LOT 74,Hampton,GA,30228,1684,33.437885,-84.31719,FOR_SALE,https://www.zillow.com/homedetails/2409-Aukerman-Trce-LOT-74-Hampton-GA-30228/407585300_zpid/,Clayton County,SINGLE_FAMILY,"Capshaw Homes presents the Springdale Plan featured at Walker Commons. This craftsman style brick front with 3 sides brick water table and Hardi siding. The Springdale offers an open concept with fully trim wood cased windows, granite kitchen countertops, 42-inch cabinets, tile backslash, stainless-steel appliance package, bronze light fixtures, private owner's retreat with spa-like bath and more. Photos used for illustrative purposes and do not depict actual home. Home is Ready.",2024,"4,181 sqft",False,"1,684"
15,11643 Chatham Dr,Hampton,GA,30228,1568,33.438633,-84.32293,FOR_SALE,https://www.zillow.com/homedetails/11643-Chatham-Dr-Hampton-GA-30228/440146751_zpid/,Clayton County,TOWNHOUSE,"The Nottingham floor plan at Chatham is the townhome that you’ve been waiting for all along! This is a highly desired END UNIT! Open the door and instantly you’re greeted with soaring 9 foot ceilings and spectacular hardwoods throughout the entire main level. The gourmet kitchen boasts classic white cabinetry, gorgeous granite countertops, oversized island, and a separate dining area! The spacious family room has a warm fireplace and plenty of natural light, great for relaxation and entertaining. Follow the stairway to the upper level where you will find a convenient laundry room and two aptly sized secondary bedrooms. The grand owner's suite is showstopping with its spa-like bath with dual vanity, standing shower and large closet! The private backyard will be a hit when hosting family and friends. Amazing amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't delay, it's time to come home to this GATED community!",2024,"5,662 sqft",False,"1,568"
16,12233 Florin St,Hampton,GA,30228,2721,33.417774,-84.38024,FOR_SALE,https://www.zillow.com/homedetails/12233-Florin-St-Hampton-GA-30228/250287766_zpid/,Clayton County,SINGLE_FAMILY,"Step into spacious living with this meticulously maintained 4-bedroom, 3.5-bath home, complete with a 2-car automatic garage and convenient kitchen entry.    Upon entering, you're welcomed by a large guest room, a half bath, and a spacious dining room perfect for formal gatherings. The foyer leads seamlessly into an expansive open living area, which includes a cozy breakfast nook and a living room, ideal for entertaining or casual family time.    Extend your living space outdoors with a covered lanai, perfect for al fresco dining, relaxation, or hosting friends. This all-electric, four-sided brick home features a fully equipped chef's kitchen, complete with a built-in microwave, dishwasher, Smart Stove, and a walk-in pantry that offers plenty of storage space.    Upstairs, the primary bedroom is a true retreat, featuring a luxurious en-suite bath with double vanity sinks, a soaking tub, a separate water closet, and a generously sized walk-in closet. The upper level also includes a spacious loft area, ideal for a secondary entertainment space or quiet relaxation, as well as three oversized bedrooms and a convenient laundry room.    With recessed lighting throughout, ceiling fans in the master and family rooms, and so much more, this home is designed for comfortable and stylish living.    Don't miss out on the opportunity to make this beautiful property your own!",2022,"8,712 sqft",False,"2,721"
17,11630 Chatham Dr,Hampton,GA,30228,1568,33.438164,-84.32261,FOR_SALE,https://www.zillow.com/homedetails/11630-Chatham-Dr-Hampton-GA-30228/345433822_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! This is a highly desired END UNIT! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish grey cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community!",2024,"5,662 sqft",False,"1,568"
18,11141 Cornertsone Way LOT 73,Hampton,GA,30228,2267,33.451015,-84.30915,FOR_SALE,https://www.zillow.com/homedetails/11141-Cornertsone-Way-LOT-73-Hampton-GA-30228/348715605_zpid/,Clayton County,SINGLE_FAMILY,"For a limited time all closing cost paid with preferred builder lender (Model home) Joanna plan- 4 Bd 3 full Bath. This plan does have a bedroom on the main level with a full bath perfect for a in law suite. Open concept kitchen and living room perfect for entertaining, separate dining area. This home comes with granite countertops, kitchen island, 42 inch cabinets and upgraded builder trim & lighting package. The second level has 3 additional bedrooms and the over sized owner's suite with a large walk in closet, separate tub and shower and dual vanity. Blinds on all windows, garage door opener, Stainless steel appliances, and a fenced in back yard.",2024,0.25 Acres,False,"2,267"
19,8206 Tiger Way,Riverdale,GA,30296,1849,33.53255,-84.42096,FOR_SALE,https://www.zillow.com/homedetails/8206-Tiger-Way-Riverdale-GA-30296/346450976_zpid/,Clayton County,TOWNHOUSE,"MOVE-IN-READY! END UNIT! ONLY $1,500 DOWN TO CONTRACT! NO CLOSING COST! Introducing the Luca by DRB Homes, a stylish floor plan that spans 1,849 square feet. This inviting home features 3 bedrooms, 2.5 bathrooms, and a versatile media loft, making it perfect for both family life and entertaining. High-end touches include 42-inch soft-close cabinets and quartz countertops in the kitchen and secondary bathrooms, paired with durable luxury vinyl flooring throughout the common areas. Each home is thoughtfully complete with essential appliances, including a refrigerator, washer, and dryer, ensuring a seamless move-in experience. Residents can take advantage of exclusive community amenities, including a swimming pool and cabanas, along with comprehensive HOA services for lawn care and exterior maintenance. Over 42 spaces for guest parking! Ideally situated just minutes from the airport, Trilith Studios, Fayette Pavilion, downtown Fayetteville, and Line Creek Brewery, the Luca offers an exceptional blend of modern comfort and convenience.",2024,,False,"1,849"
20,11630 Chatham Dr #105,Hampton,GA,30228,1568,33.437923,-84.32228,FOR_SALE,https://www.zillow.com/homedetails/11630-Chatham-Dr-105-Hampton-GA-30228/345433876_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! This is a highly desired END UNIT! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish grey cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community!",2024,"5,662 sqft",False,"1,568"
21,8667 Guthrie Dr,Riverdale,GA,30274,2155,33.51854,-84.404655,FOR_SALE,https://www.zillow.com/homedetails/8667-Guthrie-Dr-Riverdale-GA-30274/250294237_zpid/,Clayton County,SINGLE_FAMILY,"Beautiful new construction within close proximity to everything (Airport, Trilith Studio, Atlanta) ready to move in now. Large kitchen with huge island and tiled blacksplash opens to the living room and dining area. Guest bedroom and bathroom on the main. Large master bedroom with large walk in closet on the second floor. The master bathroom is beautifully done with tiled floor, tiled shower, frameless shower door, large tub and double vanity. Rear fence yard with covered patio and ceiling fans. Will not last! Lease purchase option available for qualified buyers.",2023,"6,969 sqft",False,"2,155"
22,2279 Lovejoy Rd #73,Hampton,GA,30228,1883,33.438557,-84.317825,FOR_SALE,https://www.zillow.com/homedetails/2279-Lovejoy-Rd-73-Hampton-GA-30228/439974677_zpid/,Clayton County,SINGLE_FAMILY,"Capshaw Homes Presents The Redbud Floor Plan features 4 beds/2.5 baths Craftsman Style Home. Offers an open concept with 9 ft ceilings on main level, vaulted ceilings in secondary bedrooms per plans Brick FP, LVP flooring, 42"" Cabs with Granite Top in Kitchen, Tile Backsplash, SS appliances, recessed cans, blinds on front & sides, bronze fixtures & more. Home is Under Construction!!",2024,"4,051 sqft",False,"1,883"
23,11963 Conrad Cir,Hampton,GA,30228,2361,33.43082,-84.31939,FOR_SALE,https://www.zillow.com/homedetails/11963-Conrad-Cir-Hampton-GA-30228/398549438_zpid/,Clayton County,SINGLE_FAMILY,"READY NOW!!! Welcome home to Shoal Creek! Gated Community, easy access to Interstate 75, luxury living at an affordable price. Close to tons of shopping and dining including Starbucks, Publix, Aldi, Walmart, Kroger and so much more! The Robie floor plan*. This floor plan features 5 bedrooms with 3 full baths with a bedroom and full bath on the main floor, opens to a expansive foyer that leads to an open concept family room with hardwood on the main floor.  Kitchen features an oversized island that overlooks the family room, white cabinets and granite countertops, walk-in pantry and stainless steel appliances.  Oversized primary bedroom features a ceiling fan, a large walk-in closet and bathroom with double vanity, separate soaking tub and shower, and a loft right outside the door for relaxing!  Smart home technology package included, along with WASHER, DRYER, REFRIGERATOR, garage door openers, and whole house blinds!  Don't miss out on our 4.99% (FHA/VA) fixed interest rate available with ALL CLOSING COSTS PAID for a limited time with the use of preferred lender!  2-1 rate Buy Down also available with the first year starting as low a 2.99% for FHA/VA loans.  Additional Hometown hero incentive available for teachers, nurses, firefighters, law enforcement, EMT!  STOCK PHOTOS of similar home.",2024,,False,"2,361"
24,12014 Conrad Cir,Hampton,GA,30228,2381,33.43082,-84.31939,FOR_SALE,https://www.zillow.com/homedetails/12014-Conrad-Cir-Hampton-GA-30228/439161180_zpid/,Clayton County,SINGLE_FAMILY,"READY NOW!!!  Welcome home to Shoal Creek! Gated Community, easy access to Interstate 75, luxury living at an affordable price. Close to tons of shopping and dining including Starbucks, Publix, Walmart, Aldi, Kroger and so much more! . The Harbor floor plan* This floor plan features 5 bedrooms with 3 full baths, with a bedroom and full bathroom on the main floor, opens to a expansive foyer that leads to an open concept family room with hardwood on the main floor.  Kitchen features an oversized island that overlooks the family room, white cabinets and granite countertops, walk-in pantry and stainless steel appliances.  Oversized primary bedroom features a ceiling fan, a large walk-in closet and bathroom with double vanity, separate soaking tub and shower, and a loft right outside the door for relaxing!  Smart home technology package included, along with WASHER, DRYER, REFRIGERATOR, garage door openers, and whole house blinds!  Don't miss out on our below market interest rate fixed for 30 years available on government loans at no cost to you with the use of preferred lender!  ALL CLOSING COSTS COVERED with use of preferred lender for a limited time. Additional Hometown hero incentive available for teachers, nurses, firefighters, law enforcement, EMT!  STOCK PHOTOS of similar home.",2024,,False,"2,381"
25,11934 Lovejoy Crossing Blvd,Hampton,GA,30228,2024,33.42988,-84.30923,FOR_SALE,https://www.zillow.com/homedetails/11934-Lovejoy-Crossing-Blvd-Hampton-GA-30228/250289909_zpid/,Clayton County,SINGLE_FAMILY,"Welcome!! To this beautifully, constructed home less than two years old, sitting on a large and spacious corner lot. This property is in immaculate condition and equipped with stainless steel appliances, laminate flooring downstairs and like new carpet upstairs. This home boasts 3 bedrooms upstairs and 2 and a half bathrooms throughout. This property is wonderfully maintained and is move in ready with no TLC needed. Bring your buyers for a showing today!",2023,"1,306 sqft",False,"2,024"
26,11963 Conrad Cir #164,Hampton,GA,30228,0,33.429295,-84.31811,FOR_SALE,https://www.zillow.com/homedetails/11963-Conrad-Cir-164-Hampton-GA-30228/441868829_zpid/,Clayton County,SINGLE_FAMILY,"READY NOW!!! Welcome home to Shoal Creek! Gated Community, easy access to Interstate 75, luxury living at an affordable price. Close to tons of shopping and dining including Starbucks, Publix, Aldi, Walmart, Kroger and so much more! The Robie floor plan*. This floor plan features 5 bedrooms with 3 full baths with a bedroom and full bath on the main floor, opens to a expansive foyer that leads to an open concept family room with hardwood on the main floor.  Kitchen features an oversized island that overlooks the family room, white cabinets and granite countertops, walk-in pantry and stainless steel appliances.  Oversized primary bedroom features a ceiling fan, a large walk-in closet and bathroom with double vanity, separate soaking tub and shower, and a loft right outside the door for relaxing!  Smart home technology package included, along with WASHER, DRYER, REFRIGERATOR, garage door openers, and whole house blinds!  Don't miss out on our 4.99% (FHA/VA) fixed interest rate available with $12000 CC for a limited time with the use of preferred lender!  Additional Hometown hero incentive available for teachers, nurses, firefighters, law enforcement, EMT!  Selling fast!!  STOCK PHOTOS of similar home.",2024,,False,0
